Timestamp_ms,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Unbiased_Filt_Accel_X,Unbiased_Filt_Accel_Y,Raw_Omega_Z_degs,Unbiased_Omega_Z_rads,IMU_Roll_deg,IMU_Pitch_deg,IMU_Yaw_deg,GPS_Lat,GPS_Lon,GPS_GroundSpeed_kmh,GPS_Satellites,GPS_HDOP,GPS_Local_X_m,GPS_Local_Y_m,EKF_ap_X_m,EKF_ap_Y_m,EKF_av_X_mps,EKF_av_Y_mps,EKF_q_W,EKF_q_X,EKF_q_Y,EKF_q_Z,EKF_ba_X_mps2,EKF_ba_Y_mps2,EKF_bg_Z_rads,EKF_Yaw_deg,P_ap_X,P_ap_Y,P_av_X,P_av_Y,P_q_W,P_ba_X,P_ba_Y,P_bg_Z,R_delta_pos_X,R_delta_pos_Y,Q_av,Q_q,Q_ba,Q_bg,ZUPT_Actived,EKF_Status,Delta_T_s
4052,-0.0191,0.0144,9.7856,0.0,0.0,0.0,0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,100.0,100.0,1.3e-05,0.0,0.0,0.0,0,4,0.005
4251,-0.067,-0.0574,9.7521,0.0,0.0,0.0,0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0148,1.0,0.5004,0.0004,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
4456,-0.0287,0.0287,9.7952,0.0,0.0,0.0,0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0599,1.0,0.5009,0.0009,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
4661,-0.0526,-0.0383,9.7187,0.0,0.0,0.0,-0.0003,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,10.1352,1.0001,0.5013,0.0013,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
4865,0.0191,0.0191,9.8144,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,10.2406,1.0003,0.5017,0.0017,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
5070,0.0766,0.0144,9.8096,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,10.3763,1.0005,0.5022,0.0022,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
5275,-0.0526,-0.0622,9.7378,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,10.5424,1.0009,0.5026,0.0026,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
5480,-0.0239,0.0431,9.7761,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,10.7386,1.0015,0.503,0.003,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
5685,0.0909,0.0526,9.8622,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,10.9653,1.0022,0.5035,0.0035,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
5889,0.0383,0.0287,9.8383,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,11.2222,1.0032,0.5039,0.0039,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
6094,0.0766,0.0622,9.8383,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,11.5096,1.0043,0.5043,0.0043,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
6299,0.0144,-0.067,9.7761,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,11.8277,1.0058,0.5048,0.0048,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
6504,-0.0431,0.0096,9.733,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,12.1758,1.0075,0.5052,0.0052,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
